"","G","Date","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","win_loss","team"
"648",5,"2019-10-30","POR","L",99,102,33,84,0.393,4,27,0.148,29,37,0.784,13,55,15,8,2,18,21,0.25,"Thunder"
"649",6,"2019-11-02","NOP","W",115,104,41,90,0.456,15,37,0.405,18,23,0.783,8,44,20,8,11,12,20,0.5,"Thunder"
"650",7,"2019-11-05","ORL","W",102,94,37,86,0.43,12,33,0.364,16,20,0.8,7,38,21,9,5,9,23,0.75,"Thunder"
"651",8,"2019-11-07","SAS","L",112,121,42,80,0.525,10,21,0.476,18,24,0.75,4,31,26,7,2,13,14,0.6,"Thunder"
"652",9,"2019-11-09","GSW","W",114,108,43,79,0.544,14,30,0.467,14,17,0.824,7,42,30,7,5,18,17,0.8,"Thunder"
"653",10,"2019-11-10","MIL","L",119,121,45,91,0.495,17,42,0.405,12,17,0.706,5,35,31,11,4,15,20,0.666666666666667,"Thunder"
"654",11,"2019-11-12","IND","L",85,111,29,82,0.354,6,25,0.24,21,24,0.875,9,40,19,9,4,15,16,0.571428571428571,"Thunder"
"655",12,"2019-11-15","PHI","W",127,119,41,76,0.539,10,24,0.417,35,41,0.854,6,36,22,7,3,13,23,0.714285714285714,"Thunder"
"656",13,"2019-11-18","LAC","L",88,90,28,75,0.373,7,27,0.259,25,28,0.893,9,45,17,12,4,17,19,0.625,"Thunder"
"657",14,"2019-11-19","LAL","L",107,112,38,80,0.475,9,28,0.321,22,25,0.88,8,39,22,10,2,15,22,0.555555555555556,"Thunder"
"658",15,"2019-11-22","LAL","L",127,130,49,93,0.527,11,31,0.355,18,20,0.9,6,37,28,8,3,11,23,0.5,"Thunder"
"659",16,"2019-11-25","GSW","W",100,97,40,85,0.471,11,32,0.344,9,11,0.818,9,43,26,5,13,15,16,0.6,"Thunder"
"660",17,"2019-11-27","POR","L",119,136,39,88,0.443,11,35,0.314,30,38,0.789,8,38,19,4,2,6,21,0.545454545454545,"Thunder"
"661",18,"2019-11-29","NOP","W",109,104,43,90,0.478,13,34,0.382,10,16,0.625,6,42,27,6,8,11,17,0.636363636363636,"Thunder"
"662",19,"2019-12-01","NOP","W",107,104,38,81,0.469,11,33,0.333,20,26,0.769,5,47,19,5,3,11,14,0.727272727272727,"Thunder"
"663",20,"2019-12-04","IND","L",100,107,41,84,0.488,9,26,0.346,9,10,0.9,8,37,25,3,5,11,19,0.666666666666667,"Thunder"
"664",21,"2019-12-06","MIN","W",139,127,49,88,0.557,5,18,0.278,36,40,0.9,9,39,19,8,9,10,20,0.75,"Thunder"
"665",22,"2019-12-08","POR","W",108,96,35,85,0.412,11,32,0.344,27,34,0.794,13,54,12,7,2,10,22,0.833333333333333,"Thunder"
"666",23,"2019-12-09","UTA","W",104,90,40,85,0.471,8,28,0.286,16,19,0.842,2,46,21,9,7,10,20,0.916666666666667,"Thunder"
"667",24,"2019-12-11","SAC","L",93,94,34,79,0.43,13,33,0.394,12,18,0.667,7,43,24,8,8,15,16,0.846153846153846,"Thunder"
"668",1,"2019-10-23","BRK","W",127,126,46,108,0.426,13,43,0.302,22,28,0.786,12,52,23,9,4,13,22,NA,"Timberwolves"
"669",2,"2019-10-25","CHO","W",121,99,43,91,0.473,12,38,0.316,23,31,0.742,13,52,30,11,6,15,21,NA,"Timberwolves"
"670",3,"2019-10-27","MIA","W",116,109,39,91,0.429,13,45,0.289,25,33,0.758,14,46,24,12,1,16,17,NA,"Timberwolves"
"671",4,"2019-10-30","PHI","L",95,117,32,81,0.395,10,35,0.286,21,28,0.75,6,34,12,13,6,21,21,3,"Timberwolves"
"672",5,"2019-11-02","WAS","W",131,109,51,94,0.543,17,39,0.436,12,17,0.706,3,47,33,9,10,21,23,4,"Timberwolves"
"673",6,"2019-11-04","MIL","L",106,134,37,103,0.359,13,43,0.302,19,22,0.864,13,47,20,12,4,15,23,2,"Timberwolves"
"674",7,"2019-11-06","MEM","L",121,137,43,96,0.448,16,45,0.356,19,26,0.731,10,36,29,9,7,11,22,1.33333333333333,"Timberwolves"
"675",8,"2019-11-08","GSW","W",125,119,48,111,0.432,9,36,0.25,20,29,0.69,20,59,20,10,10,18,23,1.66666666666667,"Timberwolves"
"676",9,"2019-11-10","DEN","L",98,100,34,97,0.351,6,45,0.133,24,33,0.727,15,53,22,9,10,12,23,1.25,"Timberwolves"
"677",10,"2019-11-11","DET","W",120,114,45,89,0.506,15,34,0.441,15,19,0.789,11,45,25,7,6,16,23,1.5,"Timberwolves"
"678",11,"2019-11-13","SAS","W",129,114,45,91,0.495,11,34,0.324,28,34,0.824,13,50,25,11,4,10,25,1.75,"Timberwolves"
"679",12,"2019-11-15","WAS","L",116,137,42,89,0.472,11,37,0.297,21,29,0.724,9,43,26,6,5,20,20,1.4,"Timberwolves"
"680",13,"2019-11-16","HOU","L",105,125,38,84,0.452,12,38,0.316,17,23,0.739,13,46,23,7,5,18,20,1.16666666666667,"Timberwolves"
"681",14,"2019-11-18","UTA","W",112,102,41,89,0.461,14,38,0.368,16,19,0.842,5,51,22,6,10,15,25,1.33333333333333,"Timberwolves"
"682",15,"2019-11-20","UTA","L",95,103,35,89,0.393,14,45,0.311,11,21,0.524,12,51,13,5,9,13,20,1.14285714285714,"Timberwolves"
"683",16,"2019-11-23","PHO","L",98,100,38,91,0.418,12,42,0.286,10,17,0.588,9,57,26,2,10,14,23,1,"Timberwolves"
"684",17,"2019-11-25","ATL","W",125,113,41,90,0.456,15,35,0.429,28,36,0.778,14,47,27,10,6,13,25,1.125,"Timberwolves"
"685",18,"2019-11-27","SAS","W",113,101,37,85,0.435,18,40,0.45,21,27,0.778,7,53,28,4,6,11,19,1.25,"Timberwolves"
"686",19,"2019-12-01","MEM","L",107,115,33,85,0.388,11,36,0.306,30,35,0.857,10,53,22,7,6,16,21,1.11111111111111,"Timberwolves"
"687",20,"2019-12-04","DAL","L",114,121,37,89,0.416,17,38,0.447,23,26,0.885,15,44,23,5,7,12,21,1,"Timberwolves"
"688",21,"2019-12-06","OKC","L",127,139,50,96,0.521,13,38,0.342,14,20,0.7,10,36,25,8,2,13,29,0.909090909090909,"Timberwolves"
"689",22,"2019-12-08","LAL","L",125,142,44,84,0.524,15,37,0.405,22,26,0.846,6,31,27,5,6,15,18,0.833333333333333,"Timberwolves"
"690",23,"2019-12-09","PHO","L",109,125,40,85,0.471,6,22,0.273,23,29,0.793,11,45,14,6,7,16,23,0.769230769230769,"Timberwolves"
"691",24,"2019-12-11","UTA","L",116,127,40,91,0.44,15,41,0.366,21,26,0.808,15,42,18,9,3,11,19,0.714285714285714,"Timberwolves"
"692",1,"2019-10-24","LAC","L",122,141,39,99,0.394,15,42,0.357,29,30,0.967,15,42,27,7,0,13,21,0,"Warriors"
"693",2,"2019-10-27","OKC","L",92,120,30,92,0.326,5,33,0.152,27,31,0.871,12,39,17,13,2,14,15,0,"Warriors"
"694",3,"2019-10-28","NOP","W",134,123,51,104,0.49,14,35,0.4,18,24,0.75,19,61,37,8,2,18,22,0.5,"Warriors"
"695",4,"2019-10-30","PHO","L",110,121,36,82,0.439,8,28,0.286,30,36,0.833,7,43,24,8,6,18,22,0.333333333333333,"Warriors"
"696",5,"2019-11-01","SAS","L",110,127,39,84,0.464,13,28,0.464,19,21,0.905,7,39,25,4,2,11,22,0.25,"Warriors"
"697",6,"2019-11-02","CHO","L",87,93,34,77,0.442,9,28,0.321,10,13,0.769,5,40,23,5,5,18,22,0.2,"Warriors"
"698",7,"2019-11-04","POR","W",127,118,42,86,0.488,10,26,0.385,33,36,0.917,8,47,28,4,4,10,17,0.4,"Warriors"
"699",8,"2019-11-06","HOU","L",112,129,38,96,0.396,13,33,0.394,23,28,0.821,16,51,22,7,1,10,12,0.333333333333333,"Warriors"
"700",9,"2019-11-08","MIN","L",119,125,43,103,0.417,10,35,0.286,23,24,0.958,13,49,18,12,9,20,26,0.285714285714286,"Warriors"
"701",10,"2019-11-09","OKC","L",108,114,42,85,0.494,7,22,0.318,17,17,1,6,34,22,9,6,15,18,0.25,"Warriors"
"702",11,"2019-11-11","UTA","L",108,122,45,94,0.479,10,31,0.323,8,14,0.571,8,44,23,8,2,10,24,0.222222222222222,"Warriors"
"703",12,"2019-11-13","LAL","L",94,120,36,89,0.404,9,35,0.257,13,17,0.765,10,33,29,8,7,17,14,0.2,"Warriors"
"704",13,"2019-11-15","BOS","L",100,105,34,82,0.415,5,28,0.179,27,34,0.794,12,55,17,8,4,19,19,0.181818181818182,"Warriors"
"705",14,"2019-11-17","NOP","L",100,108,37,91,0.407,7,25,0.28,19,23,0.826,9,43,23,7,3,10,19,0.166666666666667,"Warriors"
"706",15,"2019-11-19","MEM","W",114,95,43,90,0.478,9,29,0.31,19,22,0.864,11,51,33,5,10,14,24,0.25,"Warriors"
"707",16,"2019-11-20","DAL","L",94,142,35,90,0.389,8,27,0.296,16,25,0.64,9,34,18,7,5,9,16,0.230769230769231,"Warriors"
"708",17,"2019-11-22","UTA","L",109,113,43,94,0.457,12,28,0.429,11,12,0.917,6,37,28,11,3,8,18,0.214285714285714,"Warriors"
"709",18,"2019-11-25","OKC","L",97,100,37,89,0.416,9,20,0.45,14,16,0.875,9,41,27,10,7,12,17,0.2,"Warriors"
"710",19,"2019-11-27","CHI","W",104,90,37,81,0.457,11,29,0.379,19,26,0.731,13,54,31,12,9,20,17,0.266666666666667,"Warriors"
"711",20,"2019-11-29","MIA","L",105,122,30,77,0.39,10,28,0.357,35,40,0.875,5,31,19,4,3,9,23,0.25,"Warriors"
"712",21,"2019-12-01","ORL","L",96,100,36,91,0.396,6,23,0.261,18,23,0.783,15,46,21,6,5,10,17,0.235294117647059,"Warriors"
"713",22,"2019-12-02","ATL","L",79,104,33,83,0.398,3,17,0.176,10,12,0.833,18,46,17,11,8,23,20,0.222222222222222,"Warriors"
"714",23,"2019-12-04","CHO","L",91,106,36,78,0.462,9,23,0.391,10,15,0.667,6,37,18,7,3,16,12,0.210526315789474,"Warriors"
"715",24,"2019-12-06","CHI","W",100,98,38,71,0.535,9,24,0.375,15,22,0.682,6,39,24,9,4,19,19,0.263157894736842,"Warriors"
"716",25,"2019-12-09","MEM","L",102,110,35,93,0.376,11,27,0.407,21,25,0.84,10,46,23,10,6,15,21,0.25,"Warriors"
"717",26,"2019-12-11","NYK","L",122,124,45,104,0.433,10,37,0.27,22,30,0.733,14,46,27,10,6,8,25,0.238095238095238,"Warriors"
"718",1,"2019-10-23","DAL","L",100,108,37,93,0.398,11,41,0.268,15,18,0.833,11,47,26,6,3,17,32,0,"Wizards"
"719",2,"2019-10-25","OKC","W",97,85,39,97,0.402,11,41,0.268,8,10,0.8,8,47,21,9,6,15,21,1,"Wizards"
"720",3,"2019-10-26","SAS","L",122,124,47,95,0.495,16,34,0.471,12,17,0.706,8,41,30,3,8,12,15,0.5,"Wizards"
"721",4,"2019-10-30","HOU","L",158,159,57,91,0.626,20,36,0.556,24,29,0.828,11,40,31,6,4,19,27,0.333333333333333,"Wizards"
"722",5,"2019-11-02","MIN","L",109,131,37,95,0.389,12,35,0.343,23,27,0.852,8,39,21,11,4,17,18,0.25,"Wizards"
"723",6,"2019-11-04","DET","W",115,99,43,93,0.462,8,29,0.276,21,25,0.84,13,41,27,9,7,11,23,0.5,"Wizards"
"724",7,"2019-11-06","IND","L",106,121,37,95,0.389,13,40,0.325,19,19,1,16,48,24,3,3,16,26,0.4,"Wizards"
"725",8,"2019-11-08","CLE","L",100,113,45,96,0.469,7,31,0.226,3,6,0.5,17,47,26,5,5,18,24,0.333333333333333,"Wizards"
"726",9,"2019-11-13","BOS","L",133,140,50,96,0.521,11,29,0.379,22,27,0.815,9,36,28,5,4,8,23,0.285714285714286,"Wizards"
"727",10,"2019-11-15","MIN","W",137,116,54,100,0.54,10,28,0.357,19,25,0.76,13,51,38,10,5,13,22,0.428571428571429,"Wizards"
"728",11,"2019-11-17","ORL","L",121,125,46,97,0.474,19,41,0.463,10,12,0.833,9,38,31,7,2,9,21,0.375,"Wizards"
"729",12,"2019-11-20","SAS","W",138,132,54,92,0.587,18,30,0.6,12,15,0.8,6,38,37,4,3,17,20,0.5,"Wizards"
"730",13,"2019-11-22","CHO","W",125,118,48,91,0.527,14,34,0.412,15,20,0.75,6,41,34,10,3,11,13,0.625,"Wizards"
"731",14,"2019-11-24","SAC","L",106,113,42,92,0.457,13,34,0.382,9,12,0.75,12,45,29,5,2,16,23,0.555555555555556,"Wizards"
"732",15,"2019-11-26","DEN","L",104,117,40,95,0.421,10,40,0.25,14,21,0.667,5,36,26,9,3,12,22,0.5,"Wizards"
"733",16,"2019-11-27","PHO","W",140,132,51,89,0.573,19,35,0.543,19,20,0.95,4,34,32,9,5,14,20,0.6,"Wizards"
"734",17,"2019-11-29","LAL","L",103,125,38,96,0.396,10,37,0.27,17,19,0.895,13,45,25,10,2,17,23,0.545454545454545,"Wizards"
"735",18,"2019-12-01","LAC","L",125,150,47,102,0.461,11,30,0.367,20,27,0.741,12,43,32,10,1,14,29,0.5,"Wizards"
"736",19,"2019-12-03","ORL","L",120,127,45,89,0.506,12,35,0.343,18,23,0.783,5,38,22,9,3,10,23,0.461538461538462,"Wizards"
"737",20,"2019-12-05","PHI","W",119,113,41,90,0.456,11,27,0.407,26,32,0.813,13,41,25,9,1,11,20,0.538461538461538,"Wizards"
"738",21,"2019-12-06","MIA","L",103,112,39,91,0.429,12,39,0.308,13,14,0.929,9,39,29,6,4,11,20,0.5,"Wizards"
"739",22,"2019-12-08","LAC","L",119,135,40,88,0.455,14,33,0.424,25,30,0.833,8,38,28,5,3,13,22,0.466666666666667,"Wizards"
"740",23,"2019-12-10","CHO","L",107,114,38,90,0.422,11,35,0.314,20,25,0.8,13,45,27,7,7,10,24,0.4375,"Wizards"
