Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,MIN,L,126,127,48,101,.475,15,34,.441,15,26,.577,10,48,19,8,9,16,30,,46,108,.426,13,43,.302,22,28,.786,12,52,23,9,4,13,22
2,2,2019-10-25,,NYK,W,113,109,37,78,.474,16,37,.432,23,34,.676,11,46,21,11,2,26,26,,38,81,.469,17,25,.680,16,28,.571,9,39,17,14,4,26,31
3,3,2019-10-27,@,MEM,L,133,134,44,101,.436,15,45,.333,30,37,.811,11,53,28,6,5,17,22,,50,103,.485,14,33,.424,20,25,.800,8,49,33,9,10,12,29
4,4,2019-10-30,,IND,L,108,118,41,93,.441,10,31,.323,16,26,.615,18,54,21,6,5,19,19,,45,96,.469,11,26,.423,17,20,.850,11,41,25,9,2,9,24
5,5,2019-11-01,,HOU,W,123,116,42,85,.494,19,32,.594,20,28,.714,10,55,26,8,7,20,21,,41,99,.414,12,48,.250,22,27,.815,9,40,21,13,4,12,21
6,6,2019-11-02,@,DET,L,109,113,43,93,.462,10,32,.313,13,17,.765,10,48,24,4,4,14,24,,41,91,.451,8,27,.296,23,29,.793,5,41,21,8,7,8,18
7,7,2019-11-04,,NOP,W,135,125,49,92,.533,16,41,.390,21,28,.750,12,45,32,13,3,23,18,,48,97,.495,13,32,.406,16,21,.762,10,39,18,16,5,21,26
8,8,2019-11-08,@,POR,W,119,115,41,99,.414,16,37,.432,21,30,.700,16,51,18,6,9,9,25,,40,97,.412,11,30,.367,24,25,.960,13,48,11,3,9,10,24
9,9,2019-11-10,@,PHO,L,112,138,44,91,.484,8,34,.235,16,17,.941,5,43,27,4,2,17,24,,52,99,.525,19,42,.452,15,19,.789,5,42,37,8,7,7,17
10,10,2019-11-12,@,UTA,L,114,119,41,90,.456,11,37,.297,21,25,.840,10,43,19,5,8,16,29,,43,92,.467,6,26,.231,27,35,.771,11,46,16,7,4,11,18
11,11,2019-11-14,@,DEN,L,93,101,36,95,.379,8,38,.211,13,16,.813,7,51,19,3,2,7,14,,43,101,.426,10,33,.303,5,10,.500,14,62,26,4,3,7,14
12,12,2019-11-16,@,CHI,W,117,111,40,88,.455,10,43,.233,27,31,.871,5,40,30,10,9,15,30,,32,91,.352,9,39,.231,38,41,.927,17,56,15,8,2,19,30
13,13,2019-11-18,,IND,L,86,115,30,84,.357,11,34,.324,15,24,.625,4,40,18,2,7,9,19,,44,101,.436,14,33,.424,13,17,.765,15,63,26,5,8,10,22
14,14,2019-11-20,,CHO,W,101,91,36,90,.400,10,39,.256,19,23,.826,13,53,19,11,1,15,21,,30,81,.370,11,33,.333,20,26,.769,8,41,17,8,3,16,23
15,15,2019-11-22,,SAC,W,116,97,41,81,.506,12,34,.353,22,31,.710,13,48,22,9,3,18,18,,39,86,.453,4,26,.154,15,19,.789,7,33,26,8,2,16,25
16,16,2019-11-24,@,NYK,W,103,101,31,77,.403,14,38,.368,27,34,.794,7,35,18,6,1,11,16,,37,80,.463,18,35,.514,9,16,.563,9,43,22,6,4,16,29
17,17,2019-11-25,@,CLE,W,108,106,44,94,.468,11,34,.324,9,11,.818,12,48,29,8,10,9,21,,40,94,.426,13,32,.406,13,20,.650,12,45,24,5,4,10,14
18,18,2019-11-27,@,BOS,L,110,121,40,90,.444,21,56,.375,9,19,.474,11,38,32,5,6,15,22,,43,97,.443,13,34,.382,22,24,.917,19,55,23,10,5,14,17
19,19,2019-11-29,,BOS,W,112,107,43,93,.462,17,41,.415,9,13,.692,13,49,30,9,6,18,24,,41,93,.441,9,28,.321,16,21,.762,16,48,16,11,7,19,14
20,20,2019-12-01,,MIA,L,106,109,40,91,.440,14,42,.333,12,16,.750,9,48,24,3,5,12,21,,37,95,.389,12,37,.324,23,28,.821,16,51,16,3,2,9,17
21,21,2019-12-04,@,ATL,W,130,118,50,101,.495,14,31,.452,16,18,.889,18,53,26,8,6,15,20,,48,90,.533,9,26,.346,13,21,.619,9,35,24,8,9,16,19
22,22,2019-12-06,@,CHO,W,111,104,42,88,.477,15,38,.395,12,15,.800,15,49,35,12,5,16,21,,36,83,.434,17,40,.425,15,17,.882,10,34,23,6,6,19,16
23,23,2019-12-08,,DEN,W,105,102,40,87,.460,7,28,.250,18,23,.783,10,48,25,5,1,11,15,,36,89,.404,18,42,.429,12,14,.857,7,37,25,4,5,12,23
24,24,2019-12-11,,CHO,L,108,113,38,88,.432,10,38,.263,22,33,.667,17,52,20,5,3,12,21,,36,88,.409,15,35,.429,26,32,.813,15,47,20,2,6,8,23
