Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,DET,L,110,119,41,89,.461,8,21,.381,20,24,.833,10,36,26,8,6,15,28,,41,78,.526,11,24,.458,26,33,.788,10,45,26,5,6,18,21
2,2,2019-10-26,@,CLE,L,99,110,39,87,.448,10,28,.357,11,13,.846,6,36,23,7,3,17,25,,40,80,.500,11,31,.355,19,29,.655,12,44,23,9,7,18,20
3,3,2019-10-28,@,DET,L,94,96,39,94,.415,6,21,.286,10,13,.769,13,45,24,11,4,7,18,,37,81,.457,13,24,.542,9,10,.900,9,48,21,2,3,20,18
4,4,2019-10-30,@,BRK,W,118,108,45,96,.469,11,26,.423,17,20,.850,11,41,25,9,2,9,24,,41,93,.441,10,31,.323,16,26,.615,18,54,21,6,5,19,19
5,5,2019-11-01,,CLE,W,102,95,39,96,.406,5,27,.185,19,21,.905,13,58,20,8,10,13,24,,32,87,.368,11,32,.344,20,25,.800,3,45,20,9,1,16,21
6,6,2019-11-03,,CHI,W,108,95,40,85,.471,8,26,.308,20,27,.741,10,49,28,6,10,16,24,,36,84,.429,9,29,.310,14,25,.560,6,42,27,8,2,18,21
7,7,2019-11-05,@,CHO,L,120,122,51,94,.543,12,30,.400,6,7,.857,7,43,27,5,7,18,34,,42,88,.477,10,31,.323,28,42,.667,10,37,22,7,4,13,17
8,8,2019-11-06,,WAS,W,121,106,44,94,.468,12,30,.400,21,26,.808,13,48,35,8,3,13,25,,37,95,.389,13,40,.325,19,19,1.000,16,48,24,3,3,16,26
9,9,2019-11-08,,DET,W,112,106,43,83,.518,4,15,.267,22,25,.880,10,44,23,6,8,12,16,,39,86,.453,13,33,.394,15,18,.833,10,40,27,6,4,15,26
10,10,2019-11-10,@,ORL,W,109,102,48,91,.527,9,20,.450,4,5,.800,10,43,31,6,3,9,13,,41,89,.461,15,36,.417,5,6,.833,7,37,27,5,11,10,10
11,11,2019-11-12,,OKC,W,111,85,46,94,.489,7,23,.304,12,13,.923,11,50,21,6,4,14,20,,29,82,.354,6,25,.240,21,24,.875,9,40,19,9,4,15,16
12,12,2019-11-15,@,HOU,L,102,111,37,82,.451,8,33,.242,20,26,.769,8,42,24,2,2,16,25,,36,89,.404,14,46,.304,25,29,.862,10,44,12,11,3,8,23
13,13,2019-11-16,,MIL,L,83,102,32,100,.320,12,34,.353,7,9,.778,14,54,19,8,7,13,10,,43,96,.448,11,39,.282,5,7,.714,8,55,23,6,8,14,13
14,14,2019-11-18,@,BRK,W,115,86,44,101,.436,14,33,.424,13,17,.765,15,63,26,5,8,10,22,,30,84,.357,11,34,.324,15,24,.625,4,40,18,2,7,9,19
15,15,2019-11-23,,ORL,W,111,106,43,79,.544,10,24,.417,15,16,.938,7,42,26,6,6,19,14,,43,92,.467,13,31,.419,7,9,.778,7,33,24,11,5,13,16
16,16,2019-11-25,,MEM,W,126,114,51,94,.543,18,33,.545,6,10,.600,10,47,29,6,6,13,11,,46,96,.479,13,29,.448,9,13,.692,8,40,30,6,5,8,16
17,17,2019-11-27,,UTA,W,121,102,50,96,.521,8,22,.364,13,16,.813,11,42,23,8,4,12,19,,36,83,.434,10,32,.313,20,25,.800,10,40,19,7,2,16,21
18,18,2019-11-29,,ATL,W,105,104,39,92,.424,6,26,.231,21,28,.750,9,42,19,12,6,15,20,,39,90,.433,9,32,.281,17,18,.944,10,48,14,10,3,24,27
19,19,2019-11-30,@,PHI,L,116,119,42,76,.553,11,22,.500,21,25,.840,3,31,22,7,3,19,24,,38,77,.494,11,23,.478,32,36,.889,4,32,27,12,5,12,16
20,20,2019-12-02,@,MEM,W,117,104,44,88,.500,16,38,.421,13,15,.867,8,44,31,4,2,15,22,,38,89,.427,10,38,.263,18,19,.947,8,38,23,5,6,11,20
21,21,2019-12-04,@,OKC,W,107,100,42,87,.483,9,24,.375,14,17,.824,11,39,19,5,1,8,21,,41,84,.488,9,26,.346,9,10,.900,8,37,25,3,5,11,19
22,22,2019-12-06,@,DET,L,101,108,38,83,.458,9,24,.375,16,20,.800,5,33,24,8,9,11,18,,39,87,.448,11,25,.440,19,26,.731,14,51,21,7,5,17,17
23,23,2019-12-07,@,NYK,W,104,103,41,85,.482,12,28,.429,10,13,.769,5,42,26,7,9,16,17,,39,96,.406,10,31,.323,15,21,.714,15,52,24,11,6,11,14
24,24,2019-12-09,,LAC,L,99,110,34,97,.351,10,35,.286,21,28,.750,14,55,16,7,3,13,21,,40,97,.412,10,32,.313,20,27,.741,12,57,19,7,7,11,16
25,25,2019-12-11,,BOS,W,122,117,41,85,.482,10,25,.400,30,36,.833,5,36,27,11,4,10,18,,43,87,.494,14,36,.389,17,22,.773,8,44,25,6,4,15,27
