Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,PHI,L,93,107,33,90,.367,7,26,.269,20,34,.588,10,41,18,4,2,10,29,,37,85,.435,7,29,.241,26,36,.722,12,62,24,6,7,15,34
2,2,2019-10-25,,TOR,W,112,106,42,109,.385,13,38,.342,15,16,.938,21,56,21,10,8,9,20,,37,78,.474,18,36,.500,14,17,.824,5,46,22,2,6,23,28
3,3,2019-10-26,@,NYK,W,118,95,42,93,.452,15,41,.366,19,29,.655,13,46,24,14,9,12,26,,31,82,.378,7,27,.259,26,34,.765,16,55,15,7,4,23,26
4,4,2019-10-30,,MIL,W,116,105,41,92,.446,17,41,.415,17,21,.810,5,45,25,4,4,9,20,,38,82,.463,14,45,.311,15,24,.625,5,45,21,3,4,15,21
5,5,2019-11-01,,NYK,W,104,102,33,74,.446,11,34,.324,27,29,.931,3,44,21,7,4,14,16,,37,93,.398,14,38,.368,14,21,.667,16,51,22,9,4,13,23
6,6,2019-11-05,@,CLE,W,119,113,48,85,.565,12,30,.400,11,15,.733,4,45,24,5,12,14,23,,40,95,.421,13,33,.394,20,22,.909,11,43,22,3,6,9,18
7,7,2019-11-07,@,CHO,W,108,87,40,93,.430,10,33,.303,18,23,.783,11,52,29,13,5,12,19,,33,86,.384,6,31,.194,15,21,.714,9,49,21,7,9,20,19
8,8,2019-11-09,@,SAS,W,135,115,48,94,.511,14,37,.378,25,28,.893,7,43,28,11,11,8,25,,39,99,.394,14,30,.467,23,30,.767,21,57,24,1,8,15,22
9,9,2019-11-11,,DAL,W,116,106,41,86,.477,15,35,.429,19,25,.760,10,46,25,4,5,9,27,,37,89,.416,11,42,.262,21,28,.750,13,46,22,2,5,6,26
10,10,2019-11-13,,WAS,W,140,133,49,96,.510,16,36,.444,26,29,.897,10,44,32,5,5,11,26,,50,96,.521,11,29,.379,22,27,.815,9,36,28,5,4,8,23
11,11,2019-11-15,@,GSW,W,105,100,37,91,.407,13,33,.394,18,23,.783,11,47,24,13,5,14,24,,34,82,.415,5,28,.179,27,34,.794,12,55,17,8,4,19,19
12,12,2019-11-17,@,SAC,L,99,100,34,82,.415,10,30,.333,21,24,.875,10,46,26,7,3,14,14,,38,89,.427,14,35,.400,10,12,.833,10,45,22,8,7,12,24
13,13,2019-11-18,@,PHO,W,99,85,37,89,.416,12,41,.293,13,17,.765,11,52,22,12,5,17,21,,33,82,.402,10,36,.278,9,12,.750,8,45,22,7,6,19,17
14,14,2019-11-20,@,LAC,L,104,107,41,104,.394,12,45,.267,10,14,.714,18,53,26,11,2,17,22,,39,93,.419,17,45,.378,12,16,.750,14,53,26,12,9,23,18
15,15,2019-11-22,@,DEN,L,92,96,33,81,.407,7,27,.259,19,23,.826,5,40,21,12,6,11,19,,39,88,.443,7,28,.250,11,13,.846,11,48,24,7,5,17,17
16,16,2019-11-25,,SAC,W,103,102,38,85,.447,7,30,.233,20,23,.870,11,38,20,10,4,11,16,,37,79,.468,18,47,.383,10,15,.667,8,36,28,3,8,14,18
17,17,2019-11-27,,BRK,W,121,110,43,97,.443,13,34,.382,22,24,.917,19,55,23,10,5,14,17,,40,90,.444,21,56,.375,9,19,.474,11,38,32,5,6,15,22
18,18,2019-11-29,@,BRK,L,107,112,41,93,.441,9,28,.321,16,21,.762,16,48,16,11,7,19,14,,43,93,.462,17,41,.415,9,13,.692,13,49,30,9,6,18,24
19,19,2019-12-01,@,NYK,W,113,104,41,93,.441,15,41,.366,16,22,.727,16,44,25,5,7,13,28,,35,76,.461,8,26,.308,26,37,.703,8,39,15,7,6,14,25
20,20,2019-12-04,,MIA,W,112,93,35,79,.443,16,41,.390,26,32,.813,10,46,21,8,8,10,20,,34,77,.442,14,38,.368,11,17,.647,8,40,20,7,2,18,25
21,21,2019-12-06,,DEN,W,108,95,44,82,.537,13,35,.371,7,8,.875,4,37,21,5,5,15,23,,39,94,.415,5,30,.167,12,15,.800,12,41,18,5,4,12,15
22,22,2019-12-09,,CLE,W,110,88,45,78,.577,15,27,.556,5,8,.625,5,39,22,8,9,18,19,,36,91,.396,7,31,.226,9,19,.474,18,45,18,8,2,18,11
23,23,2019-12-11,@,IND,L,117,122,43,87,.494,14,36,.389,17,22,.773,8,44,25,6,4,15,27,,41,85,.482,10,25,.400,30,36,.833,5,36,27,11,4,10,18
24,24,2019-12-12,,PHI,L,109,115,42,91,.462,11,31,.355,14,17,.824,9,33,24,4,7,6,25,,41,82,.500,14,28,.500,19,23,.826,8,45,27,4,8,11,19
